18. Septembre 2010 | 19:56:54 | - ArmourHack = 1
18. Septembre 2010 | 19:56:54 | - DriveBy = 1
18. Septembre 2010 | 19:56:54 | - Spam = 0
18. Septembre 2010 | 19:56:54 | - CommandSpam = 0
18. Septembre 2010 | 19:56:54 | - BadWords = 0
18. Septembre 2010 | 19:56:54 | - CarJackHack = 1
18. Septembre 2010 | 19:56:54 | - TeleportHack = 1
18. Septembre 2010 | 19:56:54 | - MaxPing = 500
18. Septembre 2010 | 19:56:54 | - SpectateHack = 0
18. Septembre 2010 | 19:56:54 | - Blacklist = 1
18. Septembre 2010 | 19:56:54 | - IpBans = 1
18. Septembre 2010 | 19:56:54 | - TempBans = 1
18. Septembre 2010 | 19:56:54 | - SpawnKill = 3
18. Septembre 2010 | 19:56:54 | - CapsLock = 0
18. Septembre 2010 | 19:56:54 | - 3DSpeed = 0
18. Septembre 2010 | 19:56:54 | - MaxSpeed = 220
18. Septembre 2010 | 19:56:54 | - AdminImmunity = 1
18. Septembre 2010 | 19:56:54 | - Advertisement = 1
18. Septembre 2010 | 19:56:54 | - FreezeUpdate = 0
18. Septembre 2010 | 19:56:54 | - SpawnTime = 10
18. Septembre 2010 | 19:56:54 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:56:54 | - Airbreak = 1
18. Septembre 2010 | 19:56:54 | - TankMode = 1
18. Septembre 2010 | 19:56:54 | - WarnPlayers = 0
18. Septembre 2010 | 19:56:54 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:56:54 | 1 temporary bans have been loaded.
18. Septembre 2010 | 19:56:54 | 5 whitelist entries have been loaded.
18. Septembre 2010 | 19:56:54 | 4 blacklist entries have been loaded.
18. Septembre 2010 | 19:56:54 | 41 bad words have been loaded.
18. Septembre 2010 | 19:56:54 | 4 forbidden weapons have been loaded.
18. Septembre 2010 | 19:56:54 | JunkBuster has been configurated.
18. Septembre 2010 | 19:56:54 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:59:21 | Current JunkBuster configuration:
18. Septembre 2010 | 19:59:21 | - WeaponHack = 1
18. Septembre 2010 | 19:59:21 | - MoneyHack = 1
18. Septembre 2010 | 19:59:21 | - Jetpack = 1
18. Septembre 2010 | 19:59:21 | - HealthHack = 1
18. Septembre 2010 | 19:59:21 | - ArmourHack = 1
18. Septembre 2010 | 19:59:21 | - DriveBy = 1
18. Septembre 2010 | 19:59:21 | - Spam = 0
18. Septembre 2010 | 19:59:21 | - CommandSpam = 0
18. Septembre 2010 | 19:59:21 | - BadWords = 0
18. Septembre 2010 | 19:59:21 | - CarJackHack = 1
18. Septembre 2010 | 19:59:21 | - TeleportHack = 1
18. Septembre 2010 | 19:59:21 | - MaxPing = 500
18. Septembre 2010 | 19:59:21 | - SpectateHack = 0
18. Septembre 2010 | 19:59:21 | - Blacklist = 1
18. Septembre 2010 | 19:59:21 | - IpBans = 1
18. Septembre 2010 | 19:59:21 | - TempBans = 1
18. Septembre 2010 | 19:59:21 | - SpawnKill = 3
18. Septembre 2010 | 19:59:21 | - CapsLock = 0
18. Septembre 2010 | 19:59:21 | - 3DSpeed = 0
18. Septembre 2010 | 19:59:21 | - MaxSpeed = 220
18. Septembre 2010 | 19:59:21 | - AdminImmunity = 1
18. Septembre 2010 | 19:59:21 | - Advertisement = 1
18. Septembre 2010 | 19:59:21 | - FreezeUpdate = 0
18. Septembre 2010 | 19:59:21 | - SpawnTime = 10
18. Septembre 2010 | 19:59:21 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:59:21 | - Airbreak = 1
18. Septembre 2010 | 19:59:21 | - TankMode = 1
18. Septembre 2010 | 19:59:21 | - WarnPlayers = 0
18. Septembre 2010 | 19:59:21 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:59:21 | 1 temporary bans have been loaded.
